id,source_fragrance_id,recommended_fragrance_id,recommendation_type,score,reason,shared_dimensions_json,difference_summary,confidence_score,generation_method,review_status,created_at,updated_at,rejection_reason
1,1,19,same_family,0.988411,"AromaTwin selected this same family for its shared woody, dark, leather, warm.","{""accord"": [""green"", ""leather"", ""woody""], ""family"": [""woody chypre""], ""mood"": [""grounded"", ""refined""], ""occasion"": [""evening"", ""work""], ""season"": [""autumn"", ""winter""], ""vector_dimensions"": [""woody"", ""dark"", ""leather"", ""warm""]}",The option is less aromatic.,0.995364,public_safe_vector_context_v1,approved,2026-09-17T07:14:26.823942+00:00,2026-09-17T07:14:26.823942+00:00,
2,1,28,same_family,0.977001,"AromaTwin selected this same family for its shared woody, dark, leather, warm.","{""accord"": [""green"", ""leather"", ""woody""], ""family"": [""woody chypre""], ""mood"": [""grounded"", ""refined""], ""occasion"": [""evening"", ""work""], ""season"": [""autumn"", ""winter""], ""vector_dimensions"": [""woody"", ""dark"", ""leather"", ""warm""]}","The option is less aromatic, more fruity.",0.9908,public_safe_vector_context_v1,approved,2026-09-17T07:14:26.823942+00:00,2026-09-17T07:14:26.823942+00:00,
3,1,33,same_family,0.977001,"AromaTwin selected this same family for its shared woody, dark, leather, warm.","{""accord"": [""green"", ""leather"", ""woody""], ""family"": [""woody chypre""], ""mood"": [""grounded"", ""refined""], ""occasion"": [""evening"", ""work""], ""season"": [""autumn"", ""winter""], ""vector_dimensions"": [""woody"", ""dark"", ""leather"", ""warm""]}","The option is less aromatic, more smoky.",0.9908,public_safe_vector_context_v1,approved,2026-09-17T07:14:26.823942+00:00,2026-09-17T07:14:26.823942+00:00,
4,1,10,same_family,0.966731,"AromaTwin selected this same family for its shared woody, dark, leather, warm.","{""accord"": [""green"", ""leather"", ""woody""], ""family"": [""woody chypre""], ""mood"": [""grounded"", ""refined""], ""occasion"": [""evening"", ""work""], ""season"": [""autumn"", ""winter""], ""vector_dimensions"": [""woody"", ""dark"", ""leather"", ""warm""]}","The option is more green, less aromatic, more smoky.",0.986692,public_safe_vector_context_v1,approved,2026-09-17T07:14:26.823942+00:00,2026-09-17T07:14:26.823942+00:00,
5,1,42,same_family,0.930424,"AromaTwin selected this same family for its shared woody, dark, leather, warm.","{""accord"": [""green"", ""leather"", ""woody""], ""family"": [""woody chypre""], ""mood"": [""grounded"", ""refined""], ""occasion"": [""evening"", ""work""], ""season"": [""autumn"", ""winter""], ""vector_dimensions"": [""woody"", ""dark"", ""leather"", ""warm""]}","The option is more amber, less aromatic, more warm.",0.97217,public_safe_vector_context_v1,approved,2026-09-17T07:14:26.823942+00:00,2026-09-17T07:14:26.823942+00:00,
6,1,4,same_occasion,0.741388,"AromaTwin selected this same occasion for its shared woody, dark, leather, warm.","{""accord"": [""leather"", ""woody""], ""occasion"": [""evening""], ""season"": [""autumn"", ""winter""], ""vector_dimensions"": [""woody"", ""dark"", ""leather"", ""warm""]}","The option is more amber, more resinous, more smoky.",0.896555,public_safe_vector_context_v1,approved,2026-09-17T07:14:26.823942+00:00,2026-09-17T07:14:26.823942+00:00,
7,1,37,same_occasion,0.686959,"AromaTwin selected this same occasion for its shared woody, green, aromatic, fresh.","{""accord"": [""aromatic"", ""green"", ""woody""], ""occasion"": [""work""], ""season"": [""autumn""], ""vector_dimensions"": [""woody"", ""green"", ""aromatic"", ""fresh""]}","The option is less dark, less leather, more aromatic.",0.874784,public_safe_vector_context_v1,approved,2026-09-17T07:14:26.823942+00:00,2026-09-17T07:14:26.823942+00:00,
8,1,5,same_occasion,0.658094,"AromaTwin selected this same occasion for its shared woody, green, aromatic, fresh.","{""accord"": [""aromatic"", ""green"", ""woody""], ""occasion"": [""work""], ""season"": [""autumn""], ""vector_dimensions"": [""woody"", ""green"", ""aromatic"", ""fresh""]}","The option is less dark, less leather, more aromatic.",0.863238,public_safe_vector_context_v1,approved,2026-09-17T07:14:26.823942+00:00,2026-09-17T07:14:26.823942+00:00,
9,1,23,same_occasion,0.658094,"AromaTwin selected this same occasion for its shared woody, green, aromatic, fresh.","{""accord"": [""aromatic"", ""green"", ""woody""], ""occasion"": [""work""], ""season"": [""autumn""], ""vector_dimensions"": [""woody"", ""green"", ""aromatic"", ""fresh""]}","The option is less dark, less leather, more aromatic.",0.863238,public_safe_vector_context_v1,approved,2026-09-17T07:14:26.823942+00:00,2026-09-17T07:14:26.823942+00:00,
10,1,32,same_occasion,0.658094,"AromaTwin selected this same occasion for its shared woody, green, aromatic, fresh.","{""accord"": [""aromatic"", ""green"", ""woody""], ""occasion"": [""work""], ""season"": [""autumn""], ""vector_dimensions"": [""woody"", ""green"", ""aromatic"", ""fresh""]}","The option is less dark, less leather, more aromatic.",0.863238,public_safe_vector_context_v1,approved,2026-09-17T07:14:26.823942+00:00,2026-09-17T07:14:26.823942+00:00,
